ID,Tshangla,English
1,Lhaa zo,Painting
2,jim zo,Sculpture
3,par zo,Curving
4,dey zo,Paper making
5,luk zo,Casting
6,Tsehm zo,Embroidery
7,thak zo,Weaving
8,shing zo,Carpentry
9,doh zo,Bamboo and cane weaving
10,Tsarh zo,Gold/silver smithy
11,trö zo,Masonry
12,gar zo,Black smithy
13,sha zo,Woodturning
14,paang thah,Back strap loom
15,thaag shing,loom
16,nä shing,"Lower-warp heddle stick around which a silk yarn
is wound"
17,nä kuut paang,"A silk yarn, used as a heddle"
18,nä,Heddle stick with silk yarn
19,sho go dhongh,"Shed  roll  inserted  between  the  upper  and  lower
warp yarns"
20,wai,Upper-warp heddle stick on which the upper warp yarns are wound around
21,ʼmahn taan,A  round  stick  on  which  the  yarn  ends  are  wound around while winding the warp yarns
22,bahng shing,"L-shaped    wooden    beam,    between    which    a metal/bamboo  rod  is  placed  while  winding  the warp yarns"
23,thi doh kang,"metal or bamboo rod which is of the desired length
of  the  cloth  to  be  woven  and  used  while  winding the warp yarns"
24,kuut pahngh,"Yarn, thread"
25,pe shing,"Thin  and  round  sticks,  used  for  segregating  the
warp yarns for patterning"
26,phoon broom,"Thin, short and round sticks around which the weft
is wound"
27,khohm,cloth/warp roll that is attached to a back strap.
28,käy thah,"Back strap  using which the  weaver  can  lean  back
and use the body weight to tension the loom while weaving"
29,chey thah,Back strap  using which the  weaver  can  lean  back and use the body weight to tension the loom while weaving
30,käy thah dhoh,"The  rope  used  for  securing  the  back  strap  on  a
cloth/warp roll"
31,thak chum,"Beater, made from wood that pushes weft through
the warp to the cloth."
32,dohong gor,"The metal bars that are fixed horizontally through the  holes  of  the  wooden  beam,  and  around  which
the warp yarns and the cloth slides through."
33,bee taahn,"Two pieces of beams with a zig zag carvings on the upper portion, kept on both sides of the loom and
across which a piece of plank is placed to brace the feet upon while weaving."
34,be dohong gor,A piece of rod or a plank placed across the bitan to brace the feed upon while weaving
35,si pir,"A  pick-up  stick,  usually  made  of  aluminium  or wood, used for picking up the warp yarns to create
patterns."
36,sip chu,"A  pick-up  stick,  usually  made  of  aluminium  or
wood, used for picking up the warp yarns to create patterns."
37,tseir,"A  flat  stick with  sharp  ends  which are  inserted at the breadth ends of a cloth just below the start of
warp yarn, to maintain the width constant"
38,ri kuut pahng,"Yarn, usually silk that is used for making patterns"
39,phuun,"Weft, filling yarn"
40,phuun pa laahng,"Shuttle, filling carrier"
41,thri thah,Foot-treadle loom
42,thri thah shing,Components of a foot-treadle loom
43,peer,"Metals rods on which wheels are placed to hang the
heddles, which makes it easier to lift and lower the warp yarns"
44,khor lo,Wheel
45,drii shing," “Warp beam”,  roller  at the  end  of the loom,  on which the warp ends are wound for weaving, “cloth beam”, roller at the front of the loom, on which the woven cloth is wound"
46,nas,"Reed,  a  steel  or  bamboo  comb  that  spaces  warp threads evenly and pushes weft into cloth."
47,kahng thraah,Treadle
48,thaak pah,"Rope, thread"
49,thrü thah phuun pa laahng,"Shuttle, filling carrier"
50,paang,"Bench, a wooden plank to sit on while weaving"
51,shu guu näy,"A square-shaped heddle, usually made from X-ray films  and  particularly  used  for  weaving  belts.  A warp yarn runs through each of the four small holes on the heddle"
52,zhyum naang,Yarn swift
53,"zhyum naang bee 
ting",A stand for yarn swift
